PC,PLAATS,GEMEENTE,PROVINCIE
1944,Beverwijk,Beverwijk,Noord Holland
1945,Beverwijk,Beverwijk,Noord Holland
1946,Beverwijk,Beverwijk,Noord Holland
1947,Beverwijk,Beverwijk,Noord Holland
1948,Beverwijk,Beverwijk,Noord Holland
1949,Wijk aan Zee,Beverwijk,Noord Holland
1950,Velsen Noord,Velsen,Noord Holland
1951,Velsen Noord,Velsen,Noord Holland
1960,Heemskerk,Heemskerk,Noord Holland
1961,Heemskerk,Heemskerk,Noord Holland
1962,Heemskerk,Heemskerk,Noord Holland
1963,Heemskerk,Heemskerk,Noord Holland
1964,Heemskerk,Heemskerk,Noord Holland
1965,Heemskerk,Heemskerk,Noord Holland
1966,Heemskerk,Heemskerk,Noord Holland
1967,Heemskerk,Heemskerk,Noord Holland
1968,Heemskerk,Heemskerk,Noord Holland
1969,Heemskerk,Heemskerk,Noord Holland
1970,IJmuiden,Velsen,Noord Holland
1971,IJmuiden,Velsen,Noord Holland
1972,IJmuiden,Velsen,Noord Holland
1973,IJmuiden,Velsen,Noord Holland
1974,IJmuiden,Velsen,Noord Holland
1975,IJmuiden,Velsen,Noord Holland
1976,IJmuiden,Velsen,Noord Holland
1980,Velsen Zuid,Velsen,Noord Holland
1981,Velsen Zuid,Velsen,Noord Holland
1985,Driehuis (NH),Velsen,Noord Holland
1990,Velserbroek,Velsen,Noord Holland
1991,Velserbroek,Velsen,Noord Holland
1992,Velserbroek,Velsen,Noord Holland
2000,Haarlem,Haarlem,Noord Holland
2001,Haarlem,Haarlem,Noord Holland
2002,Haarlem,Haarlem,Noord Holland
2003,Haarlem,Haarlem,Noord Holland
2011,Haarlem,Haarlem,Noord Holland
2012,Haarlem,Haarlem,Noord Holland
2013,Haarlem,Haarlem,Noord Holland
2014,Haarlem,Haarlem,Noord Holland
2015,Haarlem,Haarlem,Noord Holland
2019,Haarlem,Haarlem,Noord Holland
2021,Haarlem,Haarlem,Noord Holland
2022,Haarlem,Haarlem,Noord Holland
2023,Haarlem,Haarlem,Noord Holland
2024,Haarlem,Haarlem,Noord Holland
2025,Haarlem,Haarlem,Noord Holland
2026,Haarlem,Haarlem,Noord Holland
2031,Haarlem,Haarlem,Noord Holland
2032,Haarlem,Haarlem,Noord Holland
2033,Haarlem,Haarlem,Noord Holland
2034,Haarlem,Haarlem,Noord Holland
2035,Haarlem,Haarlem,Noord Holland
2036,Haarlem,Haarlem,Noord Holland
2037,Haarlem,Haarlem,Noord Holland
2040,Zandvoort,Zandvoort,Noord Holland
2041,Zandvoort,Zandvoort,Noord Holland
2042,Zandvoort,Zandvoort,Noord Holland
2050,Overveen,Bloemendaal,Noord Holland
2051,Overveen,Bloemendaal,Noord Holland
2060,Bloemendaal,Bloemendaal,Noord Holland
2061,Bloemendaal,Bloemendaal,Noord Holland
2063,Spaarndam West,Haarlem,Noord Holland
2064,Spaarndam,Haarlemmerliede en Spaarnwoude,Noord Holland
2065,Haarlemmerliede,Haarlemmerliede en Spaarnwoude,Noord Holland
2070,Santpoort Noord,Velsen,Noord Holland
2071,Santpoort Noord,Velsen,Noord Holland
2080,Santpoort Zuid,Velsen,Noord Holland
2082,Santpoort Zuid,Velsen,Noord Holland
2100,Heemstede,Heemstede,Noord Holland
2101,Heemstede,Heemstede,Noord Holland
2102,Heemstede,Heemstede,Noord Holland
2103,Heemstede,Heemstede,Noord Holland
2104,Heemstede,Heemstede,Noord Holland
2105,Heemstede,Heemstede,Noord Holland
2106,Heemstede,Heemstede,Noord Holland
2110,Aerdenhout,Bloemendaal,Noord Holland
2111,Aerdenhout,Bloemendaal,Noord Holland
2114,Vogelenzang,Bloemendaal,Noord Holland
2116,Bentveld,Zandvoort,Noord Holland
2120,Bennebroek,Bennebroek,Noord Holland
2121,Bennebroek,Bennebroek,Noord Holland
